Comment,Designator,Footprint,LCSC
CR2032,BAT1,Battery:BatteryHolder_Keystone_103_1x20mm,
0.1uF,"C1,C2,C3,C4,C5",Capacitor_SMD:C_1206_3216Metric, C24497
22-44uF 16-25v,C6,Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H,
MountingHole_Pad,"H1,H2,H3,H4",MountingHole:MountingHole_3.5mm_Pad,
IDE_CONNECTOR,J1,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,
CF Adapter Power,J2,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
Bus_ISA_8bit,J3,00Custom:BUS_XT,
10K,"R1,R2,R3",Resistor_SMD:R_1206_3216Metric,C17902
Options,SW1,Button_Switch_THT:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,
BIOS FLASH,U1,Package_DIP:DIP-32_W15.24mm_Socket,
74HCT245,U2,Package_DIP:DIP-20_W7.62mm_Socket,
ATF/GAL16V8x-15,U3,Package_DIP:DIP-20_W7.62mm_Socket,
DS1315,U4,Package_DIP:DIP-16_W7.62mm_Socket,
32.768 KHz,Y1,Crystal:Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal,
